"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018- 07- 31","1,228.50","1,224.90","1,232.60","1,217.60","6.81K","0.17%"
"2018- 07- 30","1,226.40","1,226.50","1,229.10","1,223.10","22.01K","-0.01%"
"2018- 07- 27","1,226.50","1,225.80","1,230.10","1,220.00","1.79K","-0.17%"
"2018- 07- 26","1,228.60","1,234.60","1,237.70","1,224.90","1.26K","-0.48%"
"2018- 07- 25","1,234.50","1,227.20","1,236.70","1,226.70","0.48K","0.51%"
"2018- 07- 24","1,228.20","1,227.30","1,232.20","1,221.00","0.85K","0.02%"
"2018- 07- 23","1,228.00","1,234.20","1,237.40","1,224.80","0.59K","-0.45%"
"2018- 07- 20","1,233.60","1,226.70","1,234.50","1,218.90","1.08K","0.58%"
"2018- 07- 19","1,226.50","1,228.90","1,231.20","1,213.40","0.41K","-0.33%"
"2018- 07- 18","1,230.50","1,229.60","1,230.70","1,223.80","0.29K","0.05%"
"2018- 07- 17","1,229.90","1,243.20","1,247.40","1,228.80","0.38K","-0.99%"
"2018- 07- 16","1,242.20","1,245.20","1,248.00","1,241.00","0.24K","-0.13%"
"2018- 07- 13","1,243.80","1,248.90","1,250.50","1,239.50","0.17K","-0.42%"
"2018- 07- 12","1,249.10","1,244.70","1,250.50","1,244.70","0.66K","0.14%"
"2018- 07- 11","1,247.40","1,254.10","1,256.50","1,244.70","0.34K","-0.90%"
"2018- 07- 10","1,258.70","1,261.60","1,263.50","1,251.30","0.42K","-0.32%"
"2018- 07- 09","1,262.80","1,260.40","1,269.80","1,260.40","0.07K","0.31%"
"2018- 07- 06","1,258.90","1,261.50","1,262.70","1,257.80","0.12K","-0.22%"
"2018- 07- 05","1,261.70","1,257.80","1,263.60","1,256.90","0.14K","0.23%"
"2018- 07- 04","1,258.80","1,257.70","1,261.00","1,252.20","392.95K","0.19%"
"2018- 07- 03","1,256.40","1,244.90","1,259.30","1,242.10","0.12K","0.95%"
"2018- 07- 02","1,244.60","1,256.00","1,257.40","1,244.10","0.04K","-1.01%"
"2018- 06- 29","1,257.30","1,257.30","1,257.30","1,257.30","226.20K","0.28%"
"2018- 06- 28","1,253.80","1,253.80","1,253.80","1,253.80","241.82K","-0.18%"
"2018- 06- 27","1,256.10","1,260.50","1,261.90","1,252.20","256.90K","-0.30%"
"2018- 06- 26","1,259.90","1,267.30","1,269.40","1,256.40","254.01K","-0.71%"
"2018- 06- 25","1,268.90","1,272.20","1,274.40","1,265.50","201.57K","-0.14%"
"2018- 06- 22","1,270.70","1,268.60","1,273.10","1,268.40","184.22K","0.02%"
"2018- 06- 21","1,270.50","1,269.70","1,272.30","1,262.40","281.81K","-0.31%"
"2018- 06- 20","1,274.50","1,277.30","1,278.60","1,269.60","233.18K","-0.32%"
"2018- 06- 19","1,278.60","1,280.70","1,286.80","1,272.60","289.57K","-0.12%"
"2018- 06- 18","1,280.10","1,281.10","1,284.90","1,279.50","195.74K","0.13%"
"2018- 06- 15","1,278.50","1,305.90","1,306.70","1,277.90","525.96K","-2.28%"
"2018- 06- 14","1,308.30","1,303.10","1,313.00","1,301.00","347.19K","0.54%"
"2018- 06- 13","1,301.30","1,299.60","1,305.20","1,294.50","263.84K","0.15%"
"2018- 06- 12","1,299.40","1,304.50","1,304.80","1,296.30","236.39K","-0.29%"
"2018- 06- 11","1,303.20","1,303.50","1,307.00","1,297.80","211.58K","0.04%"
"2018- 06- 08","1,302.70","1,301.30","1,304.80","1,296.00","217.65K","-0.02%"
"2018- 06- 07","1,303.00","1,300.90","1,307.80","1,299.00","259.65K","0.12%"
"2018- 06- 06","1,301.40","1,300.60","1,306.10","1,297.70","252.05K","-0.06%"
"2018- 06- 05","1,302.20","1,296.40","1,304.80","1,293.50","271.29K","0.38%"
"2018- 06- 04","1,297.30","1,296.70","1,302.30","1,293.80","215.33K","-0.15%"
"2018- 06- 01","1,299.30","1,303.00","1,304.80","1,293.10","318.57K","-0.41%"
"2018- 05- 31","1,304.70","1,306.00","1,311.50","1,301.00","315.14K","-0.14%"
